EValue (1e-x),Nb genes,Nb reactions
1,4856,1141
2,4856,1141
3,4856,1141
4,4856,1141
5,4856,1141
6,4856,1141
7,4856,1141
8,4856,1141
9,4856,1141
10,4856,1141
11,4856,1141
12,4856,1141
13,4856,1141
14,4856,1141
15,4856,1141
16,4856,1141
17,4856,1141
18,4856,1141
19,4856,1141
20,4855,1141
21,4854,1141
22,4854,1141
23,4854,1141
24,4854,1141
25,4854,1141
26,4854,1141
27,4854,1141
28,4854,1141
29,4854,1141
30,4854,1141
31,4854,1141
32,4854,1141
33,4854,1141
34,4854,1141
35,4854,1141
36,4854,1141
37,4854,1141
38,4848,1141
39,4847,1141
40,4847,1141
41,4844,1141
42,4842,1141
43,4838,1141
44,4837,1141
45,4837,1141
46,4837,1141
47,4836,1141
48,4833,1141
49,4833,1141
50,4832,1141
51,4832,1141
52,4832,1141
53,4832,1141
54,4829,1141
55,4828,1141
56,4827,1141
57,4820,1141
58,4820,1141
59,4820,1141
60,4820,1141
61,4820,1141
62,4820,1141
63,4820,1141
64,4818,1141
65,4815,1141
66,4811,1141
67,4811,1141
68,4807,1141
69,4807,1141
70,4807,1141
71,4807,1141
72,4807,1141
73,4807,1141
74,4807,1141
75,4794,1141
76,4785,1141
77,4782,1140
78,4775,1140
79,4773,1140
80,4770,1139
81,4769,1139
82,4767,1139
83,4765,1139
84,4761,1139
85,4756,1139
86,4755,1139
87,4752,1139
88,4752,1139
89,4746,1138
90,4743,1138
91,4741,1138
92,4739,1137
93,4736,1137
94,4734,1137
95,4732,1137
96,4714,1136
97,4710,1136
98,4708,1136
99,4707,1136
100,4698,1133
