Names	total	elements
		EX_S_Sulfate_ext_b
		R02098_c
		Ex9
		V0001
		R00569_c
		R04953_c
		R04537_c
		Bc31
		TCM11
		R04966_c
		TCP3
		R00351_m
		TCP25
		Bc16
		TCX19
		R03013_c
		R07483_c
		R01470_c
		R06869_c
		TCX3
		R00691_c
		R01941_c
		R01334_p
		R01287_c
		R01677_c
		R02037_c
		R04568_c
		R06535_c
		R00157_c
		Bc25
		R00155_c
		R00623_c
		R04953_p
		R00842_c
		R01197_m
		R02142_c
		R00736_c
		Bc11
		EX_S_Hydrogen_32_sulfide_ext_b
		R01244_c
		Bc29
		V0005
		R02485_c
		TCX2
		R01415_c
		R04738_x
		TCM9
		R04969_c
		V0003
		R02519_c
		TCP17
		R04901_c
		Ex6
		EX_S_Biotin_biomass_b
		TCM16
		Bc27
		TCM12
		R00974_c
		R01514_p
		R04533_p
		R00343_m
		R07396_c
		EX_S_Ubiquinone_biomass_b
		R01618_c
		R04429_c
		R04533_c
		TCX16
		R01384_c
		R01561_c
		R02092_c
		R04972_c
		Ex7
		R03651N_m
		R01967_c
		RN04_m
		R01706_p
		TCM29
		R04961_p
		R02739_p
		R00130_c
		R03443_c
		Bc4
		R00507_c
		R02379_c
		R03209_c
		R01326_c
		R03024_c
		R01055_c
		EX_S_Chlorophyll_32_a_biomass_b
		R02950_c
		R04365_c
		EX_S_L_45_Glutamate_ext_b
		R00533_c
		R00959_c
		R00705_c
		R05579_c
		Bc20
		R02102_c
		R01876_c
		TCM26
		R04686_c
		R00131_c
		R02421_p
		R02581_c
		R01549_c
		TCX5
		R04536_c
		Bc35
		R06605_c
		R00962_c
		R00710_c
		EX_S_Riboflavin_biomass_b
		R00619_c
		R02090_c
		R01286_c
		TCM7
		R00540_c
		R00159_c
		R04475_c
		R02408_c
		R04558_c
		Bc6
		Bc3
		TCM21
		R03991_x
		R02484_c
		TCP1
		R00408_c
		R01961_c
		R01354_c
		R03217_c
		R03341_c
		R00794_c
		R02466_c
		Ex14
		R01226_c
		Ex13
		R06536_c
		EX_S_Oxygen_ext_b
		R00951_c
		R00187_c
		R01495_c
		EX_S_L_45_Alanine_ext_b
		R05069_c
		TCM17
		R04969_p
		R04941_c
		TCX12
		R01321_c
		EX_S_Enzyme_32_N6_45__40_dihydrolipoyl_41_lysine_m_b
		EX_S_6_45_Carboxyhexanoate_c_b
		R03350_c
		Bc12
		TCP29
		R04746_x
		EX_S_5_45_Amino_45_6_45__40_1_45_D_45_ribitylamino_41_uracil_c_b
		R01682_c
		R00737_c
		R03199_c
		TCX17
		R02029_c
		R05071_c
		Bc36
		EX_S_Glucose_ext_b
		R01373_c
		R00489_c
		R04964_c
		EX_S_Thiamin_biomass_b
		R04566_p
		Ex16
		Bc33
		R04535_p
		RN06_c
		Bc22
		R00214_c
		R04537_p
		R01325_x
		Bc14
		R00089_c
		TCM5
		R01134_c
		RN05_m
		R00894_c
		R00372_x
		R02593_c
		R04543_p
		BIO_L
		R00514_c
		R01626_p
		Bc18
		TCP12
		R02869_c
		R01728_c
		R01290_c
		R02237_c
		R05553_c
		TCP19
		R02749_c
		Bc24
		R00181_c
		Bc8
		R00782_c
		R01706_c
		Bc1
		TCX15
		R01021_c
		R03283_c
		R03182_c
		Bc38
		R01569_c
		R01388_x
		R01080_c
		R02332_c
		R04568_p
		V0007
		R00851_c
		R02094_c
		R02411_c
		R01214_c
		TCX18
		TCP24
		R02143_c
		EX_S_CoA_biomass_b
		Bc9
		R03172_c
		R01788_p
		R02239_c
		Bc17
		R00875_c
		R06518_c
		R01737_c
		R00185_c
		R02058_c
		TCX4
		TCM1
		Bc28
		R02080_c
		R01666_c
		R06534_c
		Ex18
		R01468_c
		R02422_c
		V0004
		R06610_c
		R05202_c
		R00434_c
		R00946_c
		R00376N_c
		R00964_c
		R03124_c
		TCX1
		R04859_c
		TCX11
		TCV1
		R00516_c
		R04535_c
		R03504_c
		Bc30
		R05577_c
		R01036_c
		TCP21
		R00970_c
		R00485_c
		R00805_c
		R00191_c
		TCM10
		R04964_p
		R06286_c
		EX_S_Acyl_45_carrier_32_protein_c_b
		R03066_c
		TCV5
		R01791_c
		R03647_c
		R02327_c
		EX_S_Biomass_biomass_b
		R01678_c
		V0002
		TCM13
		R04429_p
		R03928_c
		R05052_c
		R00513_c
		R00616_c
		R03472_c
		R02487_c
		R00768_c
		R02297_c
		R06128_c
		R01626_c
		R03966_c
		R04567_c
		Bc26
		EX_S_Folate_biomass_b
		EX_S_Sucrose_ext_b
		R02488_c
		R00978_c
		R04958_c
		R03925_c
		R04534_c
		R03210_c
		R02351_c
		R01676_c
		R04053_c
		TCX13
		Bc10
		R01770_c
		Bc5
		R01063_p
		EX_S_L_45_Aspartate_ext_b
		R01777_c
		R02147_c
		R04955_p
		R00429_c
		R00750_c
		R07376_c
		R00713_c
		R04744_x
		RN03_p
		Ex11
		R00897_c
		R02734_c
		R00245_c
		R02442_c
		R04428_c
		EX_S_NH3_ext_b
		R00233_c
		Ex8
		R02175_c
		R02097_c
		R03087_c
		R02371_c
		RN03_c
		R06847_c
		EX_S_CO2_ext_b
		R04965_p
		R00517_c
		R02283_c
		R02296_c
		Bc13
		EX_S_Acyl_45_carrier_32_protein_p_b
		TCP15
		R02661_c
		R03678_c
		R03165_c
		R00709_m
		Ex1
		R04208_c
		R01135_c
		TCP27
		R01432_c
		V0008
		R00351_x
		Bc37
		R04724_p
		EX_S_Sulfur_c_b
		Bc21
		R02340_c
		R05578_c
		R04428_p
		TCM32
		R00126_c
		R02739_c
		R01090_c
		R01001_c
		TCX9
		R02091_c
		R00959_p
		R02372_c
		R03197_c
		REner01_p
		R01867_c
		Bc34
		R04534_p
		R05625_c
		R01234_c
		Bc15
		TCM27
		R00103_c
		R04711_c
		R02805_c
		R02557_c
		R00734_c
		R02150_c
		R04965_c
		TCM18
		R00829_c
		R02530_c
		R03674_c
		R02096_c
		R01788_c
		R04958_p
		R02978_c
		R01969_c
		R00878_c
		RN01_c
		Bc2
		EX_S_Maltose_ext_b
		Bc7
